domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_s,status
bottleneck,prob01,4,629,4913,0,533,4,6,4,12,2c-sequencing,2.24,OK
bottleneck,prob02,4,702,5832,0,594,3,3,3,6,2c-sequencing,2.44,OK
bottleneck,prob03,4,779,6859,0,659,2,1,2,2,2c-sequencing,2.93,OK
bottleneck,prob04,5,1430,17576,0,1247,5,10,5,20,2c-sequencing,10.51,OK
bottleneck,prob05,5,1539,19683,0,1343,4,6,4,12,2c-sequencing,10.98,OK
bottleneck,prob06,5,1652,21952,0,1443,3,3,3,6,2c-sequencing,11.81,OK
bottleneck,prob07,5,1769,24389,0,1547,2,1,2,2,2c-sequencing,14.86,OK
bottleneck,prob08,6,2849,50653,0,2541,6,15,6,30,2c-sequencing,32.65,OK
bottleneck,prob09,6,3002,54872,0,2680,4,4,4,8,2c-sequencing,45.88,OK
bottleneck,prob10,6,3159,59319,0,2823,2,1,2,2,2c-sequencing,50.94,OK
bottleneck,prob11,6,3320,64000,0,2970,0,0,0,0,consistent,61.8,OK
bottleneck,prob12,6,3485,68921,0,3121,0,0,0,0,consistent,68.9,OK
bottleneck,prob13,,,,,,,,,,,120.27,TIMEOUT
bottleneck,prob14,,,,,,,,,,,120.25,TIMEOUT
bottleneck,prob15,,,,,,,,,,,120.3,TIMEOUT
bottleneck,prob16,,,,,,,,,,,120.31,TIMEOUT
bottleneck,prob17,,,,,,,,,,,120.32,TIMEOUT
bottleneck,prob18,,,,,,,,,,,120.34,TIMEOUT
bottleneck,prob19,,,,,,,,,,,120.48,TIMEOUT
bottleneck,prob20,,,,,,,,,,,120.49,TIMEOUT
bottleneck,prob21,,,,,,,,,,,120.52,TIMEOUT
bottleneck,prob22,,,,,,,,,,,120.44,TIMEOUT
bottleneck,prob23,,,,,,,,,,,120.55,TIMEOUT
bottleneck,prob24,,,,,,,,,,,120.55,TIMEOUT
bottleneck,prob25,,,,,,,,,,,120.59,TIMEOUT
