domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_s,status
document-transfer,prob01,19,1680,25839,19,1580,0,0,0,0,2a,12.99,OK
document-transfer,prob02,,,,,,,,,,,120.11,TIMEOUT
document-transfer,prob03,19,1425,20592,19,1332,0,0,0,0,2a,22.84,OK
document-transfer,prob04,,,,,,,,,,,120.13,TIMEOUT
document-transfer,prob05,,,,,,,,,,,120.13,TIMEOUT
document-transfer,prob06,4,210,1188,1,95,0,0,0,0,2a,18.6,OK
document-transfer,prob07,,,,,,,,,,,120.13,TIMEOUT
document-transfer,prob08,,,,,,,,,,,120.05,TIMEOUT
document-transfer,prob09,,,,,,,,,,,120.15,TIMEOUT
document-transfer,prob10,,,,,,,,,,,120.16,TIMEOUT
document-transfer,prob11,,,,,,,,,,,120.15,TIMEOUT
document-transfer,prob12,,,,,,,,,,,120.21,TIMEOUT
document-transfer,prob13,,,,,,,,,,,120.04,TIMEOUT
document-transfer,prob14,,,,,,,,,,,120.1,TIMEOUT
document-transfer,prob15,,,,,,,,,,,120.35,TIMEOUT
document-transfer,prob16,,,,,,,,,,,120.29,TIMEOUT
document-transfer,prob17,,,,,,,,,,,120.31,TIMEOUT
document-transfer,prob18,,,,,,,,,,,120.06,TIMEOUT
document-transfer,prob19,,,,,,,,,,,120.12,TIMEOUT
document-transfer,prob20,,,,,,,,,,,120.18,TIMEOUT
document-transfer,satprob01,2,322,1950,0,154,0,0,0,0,consistent,47.1,OK
document-transfer,satprob02,,,,,,,,,,,120.12,TIMEOUT
document-transfer,satprob03,,,,,,,,,,,120.11,TIMEOUT
document-transfer,satprob04,,,,,,,,,,,120.12,TIMEOUT
document-transfer,satprob05,,,,,,,,,,,120.14,TIMEOUT
document-transfer,satprob10,,,,,,,,,,,120.14,TIMEOUT
document-transfer,unknownprob01,,,,,,,,,,,120.11,TIMEOUT
document-transfer,unknownprob02,,,,,,,,,,,120.14,TIMEOUT
document-transfer,unknownprob03,,,,,,,,,,,120.15,TIMEOUT
document-transfer,unknownprob04,,,,,,,,,,,120.14,TIMEOUT
document-transfer,unknownprob05,,,,,,,,,,,120.15,TIMEOUT
document-transfer,unknownprob06,,,,,,,,,,,120.14,TIMEOUT
document-transfer,unknownprob07,,,,,,,,,,,120.15,TIMEOUT
document-transfer,unknownprob08,,,,,,,,,,,120.15,TIMEOUT
document-transfer,unknownprob09,,,,,,,,,,,120.13,TIMEOUT
