domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_s,status
3unsat,sat-3-108-25-1,,,,,,,,,,,120.05,TIMEOUT
3unsat,sat-3-108-25-2,,,,,,,,,,,120.14,TIMEOUT
3unsat,sat-3-108-25-3,,,,,,,,,,,120.1,TIMEOUT
3unsat,sat-3-108-25-4,,,,,,,,,,,120.13,TIMEOUT
3unsat,sat-3-108-25-5,,,,,,,,,,,120.14,TIMEOUT
3unsat,sat-3-129-30-1,,,,,,,,,,,120.14,TIMEOUT
3unsat,sat-3-129-30-2,,,,,,,,,,,120.14,TIMEOUT
3unsat,sat-3-129-30-3,,,,,,,,,,,120.14,TIMEOUT
3unsat,sat-3-129-30-4,,,,,,,,,,,120.14,TIMEOUT
3unsat,sat-3-129-30-5,,,,,,,,,,,120.14,TIMEOUT
3unsat,sat-3-22-5-1,22,27,10,0,0,0,0,0,0,consistent,0.36,OK
3unsat,sat-3-22-5-2,22,27,10,0,0,0,0,0,0,consistent,0.34,OK
3unsat,sat-3-22-5-3,22,27,10,0,0,0,0,0,0,consistent,0.37,OK
3unsat,sat-3-22-5-4,22,27,10,0,0,0,0,0,0,consistent,0.33,OK
3unsat,sat-3-22-5-5,22,27,10,0,0,0,0,0,0,consistent,0.37,OK
3unsat,sat-3-43-10-1,43,53,20,0,0,0,0,0,0,consistent,1.45,OK
3unsat,sat-3-43-10-2,43,53,20,0,0,0,0,0,0,consistent,1.62,OK
3unsat,sat-3-43-10-3,43,53,20,0,0,0,0,0,0,consistent,1.64,OK
3unsat,sat-3-43-10-4,43,53,20,0,0,0,0,0,0,consistent,1.7,OK
3unsat,sat-3-43-10-5,43,53,20,0,0,0,0,0,0,consistent,1.54,OK
3unsat,sat-3-65-15-1,65,80,30,0,0,0,0,0,0,consistent,4.53,OK
3unsat,sat-3-65-15-2,65,80,30,0,0,0,0,0,0,consistent,4.44,OK
3unsat,sat-3-65-15-3,65,80,30,0,0,0,0,0,0,consistent,5.17,OK
3unsat,sat-3-65-15-4,65,80,30,0,0,0,0,0,0,consistent,10.29,OK
3unsat,sat-3-65-15-5,65,80,30,0,0,0,0,0,0,consistent,5.41,OK
3unsat,sat-3-86-20-1,86,106,40,0,0,0,0,0,0,consistent,34.32,OK
3unsat,sat-3-86-20-2,86,106,40,0,0,0,0,0,0,consistent,39.92,OK
3unsat,sat-3-86-20-3,86,106,40,0,0,0,0,0,0,consistent,20.35,OK
3unsat,sat-3-86-20-4,86,106,40,0,0,0,0,0,0,consistent,22.87,OK
3unsat,sat-3-86-20-5,86,106,40,0,0,0,0,0,0,consistent,14.24,OK
