domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_s,status
pegsol-row5,prob01,1,228,216,1,214,0,0,0,0,2a,0.13,OK
pegsol-row5,prob02,1,2772,2744,1,2732,0,0,0,0,2a,0.58,OK
pegsol-row5,prob03,1,13872,13824,1,13782,0,0,0,0,2a,4.33,OK
pegsol-row5,prob04,,,,,,,,,,,120.12,TIMEOUT
pegsol-row5,prob05,,,,,,,,,,,120.23,TIMEOUT
pegsol-row5,prob06,,,,,,,,,,,120.39,TIMEOUT
pegsol-row5,prob07,,,,,,,,,,,120.71,TIMEOUT
pegsol-row5,prob08,,,,,,,,,,,120.85,TIMEOUT
pegsol-row5,prob09,,,,,,,,,,,120.63,TIMEOUT
pegsol-row5,prob10,,,,,,,,,,,120.52,TIMEOUT
pegsol-row5,prob11,,,,,,,,,,,120.47,TIMEOUT
pegsol-row5,prob12,,,,,,,,,,,120.5,TIMEOUT
pegsol-row5,prob13,,,,,,,,,,,120.59,TIMEOUT
pegsol-row5,prob14,,,,,,,,,,,120.61,TIMEOUT
pegsol-row5,prob15,,,,,,,,,,,120.64,TIMEOUT
pegsol-row5,satprob01,,,,,,,,,,,120.41,TIMEOUT
pegsol-row5,satprob02,,,,,,,,,,,120.51,TIMEOUT
pegsol-row5,satprob03,,,,,,,,,,,120.58,TIMEOUT
pegsol-row5,satprob04,,,,,,,,,,,120.62,TIMEOUT
pegsol-row5,satprob05,,,,,,,,,,,120.58,TIMEOUT
