domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_translate_s,time_ground_s,time_solve_s,time_extract_s,time_total_s,status
3unsat,sat-3-108-25-1,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-108-25-2,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-108-25-3,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-108-25-4,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-108-25-5,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-129-30-1,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-129-30-2,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-129-30-3,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-129-30-4,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-129-30-5,,,,,,,,,,,,,,,,TIMEOUT
3unsat,sat-3-22-5-1,22,27,10,0,0,0,0,0,0,consistent,0.0047,0.059,0.2199,0.0001,0.2896,OK
3unsat,sat-3-22-5-2,22,27,10,0,0,0,0,0,0,consistent,0.0046,0.0583,0.2072,0.0001,0.2759,OK
3unsat,sat-3-22-5-3,22,27,10,0,0,0,0,0,0,consistent,0.0047,0.0617,0.2474,0.0002,0.3193,OK
3unsat,sat-3-22-5-4,22,27,10,0,0,0,0,0,0,consistent,0.0045,0.0574,0.2046,0.0001,0.2722,OK
3unsat,sat-3-22-5-5,22,27,10,0,0,0,0,0,0,consistent,0.0046,0.0602,0.2299,0.0001,0.3002,OK
3unsat,sat-3-43-10-1,43,53,20,0,0,0,0,0,0,consistent,0.0064,0.2804,1.1825,0.0007,1.4859,OK
3unsat,sat-3-43-10-2,43,53,20,0,0,0,0,0,0,consistent,0.0063,0.281,1.3222,0.0007,1.6259,OK
3unsat,sat-3-43-10-3,43,53,20,0,0,0,0,0,0,consistent,0.0067,0.2808,1.2488,0.0008,1.5516,OK
3unsat,sat-3-43-10-4,43,53,20,0,0,0,0,0,0,consistent,0.0067,0.2661,1.316,0.0007,1.6052,OK
3unsat,sat-3-43-10-5,43,53,20,0,0,0,0,0,0,consistent,0.0065,0.274,1.1219,0.0006,1.4174,OK
3unsat,sat-3-65-15-1,65,80,30,0,0,0,0,0,0,consistent,0.0082,0.7487,3.6125,0.0017,4.4025,OK
3unsat,sat-3-65-15-2,65,80,30,0,0,0,0,0,0,consistent,0.0088,0.7358,3.3119,0.0018,4.0862,OK
3unsat,sat-3-65-15-3,65,80,30,0,0,0,0,0,0,consistent,0.0083,0.7542,4.1815,0.0017,4.9755,OK
3unsat,sat-3-65-15-4,65,80,30,0,0,0,0,0,0,consistent,0.0086,0.7558,9.6345,0.0018,10.4363,OK
3unsat,sat-3-65-15-5,65,80,30,0,0,0,0,0,0,consistent,0.0085,0.7691,4.5319,0.0017,5.3418,OK
3unsat,sat-3-86-20-1,86,106,40,0,0,0,0,0,0,consistent,0.0101,1.4634,33.5137,0.0036,35.0559,OK
3unsat,sat-3-86-20-2,86,106,40,0,0,0,0,0,0,consistent,0.0101,1.4804,39.1948,0.0038,40.7647,OK
3unsat,sat-3-86-20-3,86,106,40,0,0,0,0,0,0,consistent,0.0109,1.481,18.1208,0.0033,19.671,OK
3unsat,sat-3-86-20-4,86,106,40,0,0,0,0,0,0,consistent,0.0102,1.4956,20.5413,0.0032,22.1123,OK
3unsat,sat-3-86-20-5,86,106,40,0,0,0,0,0,0,consistent,0.0109,1.4674,11.3587,0.0035,12.8943,OK
