domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_translate_s,time_ground_s,time_solve_s,time_extract_s,time_total_s,status
bottleneck,prob01,4,629,4913,0,533,4,6,4,12,2c-sequencing,0.0046,0.8251,1.2573,0.0001,2.0905,OK
bottleneck,prob02,4,702,5832,0,594,3,3,3,6,2c-sequencing,0.0049,0.9501,1.3736,0.0,2.3329,OK
bottleneck,prob03,4,779,6859,0,659,2,1,2,2,2c-sequencing,0.0047,1.1507,1.6366,0.0001,2.7967,OK
bottleneck,prob04,5,1430,17576,0,1247,5,10,5,20,2c-sequencing,0.0054,3.3371,7.0537,0.0001,10.4025,OK
bottleneck,prob05,5,1539,19683,0,1343,4,6,4,12,2c-sequencing,0.0057,3.9382,7.4155,0.0001,11.3676,OK
bottleneck,prob06,5,1652,21952,0,1443,3,3,3,6,2c-sequencing,0.0054,3.9574,7.5904,0.0001,11.561,OK
bottleneck,prob07,5,1769,24389,0,1547,2,1,2,2,2c-sequencing,0.0073,4.6003,9.9099,0.0001,14.5279,OK
bottleneck,prob08,6,2849,50653,0,2541,6,15,6,30,2c-sequencing,0.0063,9.6922,22.3858,0.0004,32.0983,OK
bottleneck,prob09,6,3002,54872,0,2680,4,4,4,8,2c-sequencing,0.0061,10.6164,36.0204,0.0003,46.6602,OK
bottleneck,prob10,6,3159,59319,0,2823,2,1,2,2,2c-sequencing,0.0063,12.7314,39.0981,0.0004,51.8535,OK
bottleneck,prob11,6,3320,64000,0,2970,0,0,0,0,consistent,0.0073,13.8004,48.3064,0.0004,62.1303,OK
bottleneck,prob12,6,3485,68921,0,3121,0,0,0,0,consistent,0.0069,13.9866,53.7811,0.0004,67.7943,OK
bottleneck,prob13,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob14,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob15,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob16,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob17,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob18,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob19,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob20,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob21,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob22,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob23,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob24,,,,,,,,,,,,,,,,TIMEOUT
bottleneck,prob25,,,,,,,,,,,,,,,,TIMEOUT
