domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_translate_s,time_ground_s,time_solve_s,time_extract_s,time_total_s,status
chessboard-pebbling,prob03,3,1300,15625,0,1211,3,2,3,2,2c-sequencing,0.0044,3.0178,7.3402,0.0002,10.3679,OK
chessboard-pebbling,prob04,3,2664,46656,0,2533,3,2,3,2,2c-sequencing,0.0055,8.6849,35.7891,0.0005,44.4904,OK
chessboard-pebbling,prob05,3,4900,117649,0,4719,3,2,3,2,2c-sequencing,0.0073,22.7895,61.6811,0.0011,84.4957,OK
chessboard-pebbling,prob06,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob07,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob08,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob09,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob10,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob11,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob12,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob13,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob14,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob15,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob16,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob17,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob18,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob19,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob20,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob21,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob22,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob23,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob24,,,,,,,,,,,,,,,,TIMEOUT
chessboard-pebbling,prob25,,,,,,,,,,,,,,,,TIMEOUT
