domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_translate_s,time_ground_s,time_solve_s,time_extract_s,time_total_s,status
document-transfer,prob01,19,1680,25839,19,1580,0,0,0,0,2a,0.0061,3.5144,9.7042,0.0005,13.2637,OK
document-transfer,prob02,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob03,19,1425,20592,19,1332,0,0,0,0,2a,0.0056,2.7554,18.6905,0.0005,21.4894,OK
document-transfer,prob04,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob05,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob06,4,210,1188,1,95,0,0,0,0,2a,0.0045,0.1224,18.8004,0.0001,18.9352,OK
document-transfer,prob07,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob08,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob09,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob10,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob11,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob12,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob13,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob14,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob15,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob16,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob17,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob18,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob19,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,prob20,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,satprob01,2,322,1950,0,154,0,0,0,0,consistent,0.0042,0.2473,47.2961,0.0001,47.5603,OK
document-transfer,satprob02,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,satprob03,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,satprob04,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,satprob05,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,satprob10,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob01,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob02,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob03,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob04,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob05,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob06,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob07,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob08,,,,,,,,,,,,,,,,TIMEOUT
document-transfer,unknownprob09,,,,,,,,,,,,,,,,TIMEOUT
