domain,problem,num_goals,num_props,num_operators,ur_scope,ur_struct,mx_scope,mx_struct,gs_scope,gs_struct,category,time_translate_s,time_ground_s,time_solve_s,time_extract_s,time_total_s,status
pegsol-row5,prob01,1,228,216,1,214,0,0,0,0,2a,0.0092,0.0192,0.0044,0.0,0.0357,OK
pegsol-row5,prob02,1,2772,2744,1,2732,0,0,0,0,2a,0.0035,0.367,0.0968,0.0001,0.4699,OK
pegsol-row5,prob03,1,13872,13824,1,13782,0,0,0,0,2a,0.0052,2.1726,1.9006,0.0005,4.0839,OK
pegsol-row5,prob04,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob05,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob06,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob07,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob08,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob09,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob10,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob11,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob12,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob13,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob14,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,prob15,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,satprob01,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,satprob02,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,satprob03,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,satprob04,,,,,,,,,,,,,,,,TIMEOUT
pegsol-row5,satprob05,,,,,,,,,,,,,,,,TIMEOUT
